Company,Product,Cpu,Ram,Memory,Gpu,Price_euros,Age_years,Condition_10,Battery_Health_%
Apple,MacBook Pro,Intel Core i5 2.3GHz,8GB,128GB SSD,Intel Iris Plus Graphics 640,1339.69,5,7,65
Apple,Macbook Air,Intel Core i5 1.8GHz,8GB,128GB Flash Storage,Intel HD Graphics 6000,898.94,5,7,65
HP,250 G6,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 620,575.0,6,6,58
Apple,MacBook Pro,Intel Core i7 2.7GHz,16GB,512GB SSD,AMD Radeon Pro 455,2537.45,4,8,72
Apple,MacBook Pro,Intel Core i5 3.1GHz,8GB,256GB SSD,Intel Iris Plus Graphics 650,1803.6,5,7,65
Acer,Aspire 3,AMD A9-Series 9420 3GHz,4GB,500GB HDD,AMD Radeon R5,400.0,6,6,58
Apple,MacBook Pro,Intel Core i7 2.2GHz,16GB,256GB Flash Storage,Intel Iris Pro Graphics,2139.97,4,8,72
Apple,Macbook Air,Intel Core i5 1.8GHz,8GB,256GB Flash Storage,Intel HD Graphics 6000,1158.7,5,7,65
Asus,ZenBook UX430UN,Intel Core i7 8550U 1.8GHz,16GB,512GB SSD,Nvidia GeForce MX150,1495.0,5,7,65
Acer,Swift 3,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,Intel UHD Graphics 620,770.0,5,7,65
HP,250 G6,Intel Core i5 7200U 2.5GHz,4GB,500GB HDD,Intel HD Graphics 620,393.9,6,6,58
HP,250 G6,Intel Core i3 6006U 2GHz,4GB,500GB HDD,Intel HD Graphics 520,344.99,6,6,58
Apple,MacBook Pro,Intel Core i7 2.8GHz,16GB,256GB SSD,AMD Radeon Pro 555,2439.97,4,8,72
Dell,Inspiron 3567,Intel Core i3 6006U 2GHz,4GB,256GB SSD,AMD Radeon R5 M430,498.9,6,6,58
Apple,"MacBook 12""",Intel Core M m3 1.2GHz,8GB,256GB SSD,Intel HD Graphics 615,1262.4,5,7,65
Apple,MacBook Pro,Intel Core i5 2.3GHz,8GB,256GB SSD,Intel Iris Plus Graphics 640,1518.55,5,7,65
Dell,Inspiron 3567,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,AMD Radeon R5 M430,745.0,6,6,58
Apple,MacBook Pro,Intel Core i7 2.9GHz,16GB,512GB SSD,AMD Radeon Pro 560,2858.0,4,8,72
Lenovo,IdeaPad 320-15IKB,Intel Core i3 7100U 2.4GHz,8GB,1TB HDD,Nvidia GeForce 940MX,499.0,6,6,58
Dell,XPS 13,Intel Core i5 8250U 1.6GHz,8GB,128GB SSD,Intel UHD Graphics 620,979.0,5,7,65
Asus,Vivobook E200HA,Intel Atom x5-Z8350 1.44GHz,2GB,32GB Flash Storage,Intel HD Graphics 400,191.9,6,6,58
Lenovo,Legion Y520-15IKBN,Intel Core i5 7300HQ 2.5GHz,8GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,999.0,5,7,65
HP,255 G6,AMD E-Series E2-9000e 1.5GHz,4GB,500GB HDD,AMD Radeon R2,258.0,6,6,58
Dell,Inspiron 5379,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,Intel UHD Graphics 620,819.0,5,7,65
HP,15-BS101nv (i7-8550U/8GB/256GB/FHD/W10),Intel Core i7 8550U 1.8GHz,8GB,256GB SSD,Intel HD Graphics 620,659.0,6,6,58
Dell,Inspiron 3567,Intel Core i3 6006U 2GHz,4GB,1TB HDD,Intel HD Graphics 520,418.64,6,6,58
Apple,MacBook Air,Intel Core i5 1.6GHz,8GB,128GB Flash Storage,Intel HD Graphics 6000,1099.0,5,7,65
Dell,Inspiron 5570,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,AMD Radeon 530,800.0,5,7,65
Dell,Latitude 5590,Intel Core i7 8650U 1.9GHz,8GB,256GB SSD +  256GB SSD,Intel UHD Graphics 620,1298.0,5,7,65
HP,ProBook 470,Intel Core i5 8250U 1.6GHz,8GB,1TB HDD,Nvidia GeForce 930MX,896.0,5,7,65
Chuwi,"LapBook 15.6""",Intel Atom x5-Z8300 1.44GHz,4GB,64GB Flash Storage,Intel HD Graphics,244.99,6,6,58
Asus,E402WA-GA010T (E2-6110/2GB/32GB/W10),AMD E-Series E2-6110 1.5GHz,2GB,32GB Flash Storage,AMD Radeon R2,199.0,6,6,58
HP,17-ak001nv (A6-9220/4GB/500GB/Radeon,AMD A6-Series 9220 2.5GHz,4GB,500GB HDD,AMD Radeon 530,439.0,6,6,58
Dell,XPS 13,Intel Core i7 8550U 1.8GHz,16GB,512GB SSD,Intel UHD Graphics 620,1869.0,5,7,65
Apple,MacBook Air,Intel Core i5 1.6GHz,8GB,256GB Flash Storage,Intel HD Graphics 6000,998.0,5,7,65
Lenovo,IdeaPad 120S-14IAP,Intel Celeron Dual Core N3350 1.1GHz,4GB,64GB Flash Storage,Intel HD Graphics 500,249.0,6,6,58
Acer,Aspire 3,Intel Core i3 7130U 2.7GHz,4GB,1TB HDD,Intel HD Graphics 620,367.0,6,6,58
Dell,Inspiron 5770,Intel Core i5 8250U 1.6GHz,8GB,128GB SSD +  1TB HDD,AMD Radeon 530,979.0,5,7,65
HP,250 G6,Intel Core i5 7200U 2.5GHz,4GB,1TB HDD,Intel HD Graphics 620,488.69,6,6,58
HP,ProBook 450,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,Nvidia GeForce 930MX ,879.0,5,7,65
Asus,X540UA-DM186 (i3-6006U/4GB/1TB/FHD/Linux),Intel Core i3 6006U 2GHz,4GB,1TB HDD,Intel HD Graphics 620,389.0,6,6,58
Dell,Inspiron 7577,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,1499.0,5,7,65
Asus,X542UQ-GO005 (i5-7200U/8GB/1TB/GeForce,Intel Core i5 7200U 2.5GHz,8GB,1TB HDD,Nvidia GeForce 940MX,522.99,6,6,58
Acer,Aspire A515-51G,Intel Core i5 8250U 1.6GHz,4GB,256GB SSD,Intel UHD Graphics 620,682.0,6,6,58
Dell,Inspiron 7773,Intel Core i5 8250U 1.6GHz,12GB,1TB HDD,Nvidia GeForce 150MX,999.0,5,7,65
Apple,MacBook Pro,Intel Core i5 2.0GHz,8GB,256GB SSD,Intel Iris Graphics 540,1419.0,5,7,65
Lenovo,IdeaPad 320-15ISK,Intel Core i3 6006U 2GHz,4GB,128GB SSD,Intel HD Graphics 520,369.0,6,6,58
Asus,Rog Strix,AMD Ryzen 1700 3GHz,8GB,256GB SSD +  1TB HDD,AMD Radeon RX 580,1299.0,5,7,65
Dell,Inspiron 3567,Intel Core i5 7200U 2.5GHz,4GB,256GB SSD,AMD Radeon R5 M430,639.0,6,6,58
Asus,X751NV-TY001T (N4200/4GB/1TB/GeForce,Intel Pentium Quad Core N4200 1.1GHz,4GB,1TB HDD,Nvidia GeForce 920MX,466.0,6,6,58
Lenovo,Yoga Book,Intel Atom x5-Z8550 1.44GHz,4GB,64GB Flash Storage,Intel HD Graphics 400,319.0,6,6,58
Acer,Aspire A515-51G,Intel Core i7 8550U 1.8GHz,8GB,256GB SSD,Nvidia GeForce MX150,841.0,5,7,65
HP,255 G6,AMD A6-Series 9220 2.5GHz,4GB,256GB SSD,AMD Radeon R4 Graphics,398.49,6,6,58
HP,ProBook 430,Intel Core i7 8550U 1.8GHz,8GB,512GB SSD,Intel UHD Graphics 620,1103.0,5,7,65
Acer,Aspire 3,Intel Core i3 7100U 2.4GHz,4GB,1TB HDD,Intel HD Graphics 620,384.0,6,6,58
Dell,Inspiron 3576,Intel Core i7 8550U 1.8GHz,8GB,256GB SSD,AMD Radeon 520,767.8,5,7,65
HP,15-bs002nv (i3-6006U/4GB/128GB/FHD/W10),Intel Core i3 6006U 2GHz,4GB,128GB SSD,Intel HD Graphics 520,439.0,6,6,58
Asus,VivoBook Max,Intel Core i5 7200U 2.5GHz,4GB,256GB SSD,Intel HD Graphics 620,586.19,6,6,58
MSI,GS73VR 7RG,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD +  2TB HDD,Nvidia GeForce GTX 1070,2449.0,4,8,72
Asus,X541UA-DM1897 (i3-6006U/4GB/256GB/FHD/Linux),Intel Core i3 6006U 2GHz,4GB,256GB SSD,Intel HD Graphics 520,415.0,6,6,58
Dell,Inspiron 5770,Intel Core i7 8550U 1.8GHz,16GB,256GB SSD +  2TB HDD,AMD Radeon 530,1299.0,5,7,65
Dell,Vostro 5471,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,Intel UHD Graphics 620,879.0,5,7,65
Lenovo,IdeaPad 520S-14IKB,Intel Core i3 7130U 2.7GHz,8GB,256GB SSD,Intel HD Graphics 620,599.0,6,6,58
Asus,UX410UA-GV350T (i5-8250U/8GB/256GB/FHD/W10),Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,Intel UHD Graphics 620,941.0,5,7,65
HP,250 G6,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 620,690.0,6,6,58
Asus,ZenBook Pro,Intel Core i7 7700HQ 2.8GHz,16GB,512GB SSD,Nvidia GeForce GTX 1050 Ti,1983.0,4,8,72
HP,250 G6,Intel Core i3 6006U 2GHz,4GB,500GB HDD,AMD Radeon 520,438.69,6,6,58
HP,Stream 14-AX040wm,Intel Celeron Dual Core N3060 1.6GHz,4GB,32GB SSD,Intel HD Graphics 400,229.0,6,6,58
Lenovo,V310-15ISK (i5-7200U/4GB/1TB/FHD/W10),Intel Core i5 7200U 2.5GHz,4GB,1TB HDD,Intel HD Graphics 620,549.0,6,6,58
Asus,FX753VE-GC093 (i7-7700HQ/12GB/1TB/GeForce,Intel Core i7 7700HQ 2.8GHz,12GB,1TB HDD,Nvidia GeForce GTX 1050 Ti,949.0,5,7,65
Microsoft,Surface Laptop,Intel Core i5 7200U 2.5GHz,4GB,128GB SSD,Intel HD Graphics 620,1089.0,5,7,65
Dell,Inspiron 5370,Intel Core i7 8550U 1.8GHz,8GB,256GB SSD,AMD Radeon 530,955.0,5,7,65
Dell,Inspiron 5570,Intel Core i7 8550U 1.8GHz,8GB,256GB SSD,AMD Radeon 530,870.0,5,7,65
MSI,GL72M 7RDX,Intel Core i5 7300HQ 2.5GHz,8GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,1095.0,5,7,65
Acer,Aspire E5-475,Intel Core i3 6006U 2GHz,8GB,1TB HDD,Intel HD Graphics 520,389.0,6,6,58
Asus,FX503VD-E4022T (i7-7700HQ/8GB/1TB/GeForce,Intel Core i7 7700HQ 2.8GHz,8GB,1TB HDD,Nvidia GeForce GTX 1050,949.0,5,7,65
Lenovo,IdeaPad 320-15IKBN,Intel Core i5 7200U 2.5GHz,8GB,2TB HDD,Intel HD Graphics 620,519.0,6,6,58
Dell,Inspiron 5570,Intel Core i7 8550U 1.8GHz,8GB,128GB SSD +  1TB HDD,Intel UHD Graphics 620,855.0,5,7,65
Acer,Aspire A515-51G-32MX,Intel Core i3 7130U 2.7GHz,4GB,1TB HDD,Nvidia GeForce MX130,530.0,6,6,58
HP,ProBook 470,Intel Core i5 8250U 1.6GHz,8GB,128GB SSD +  1TB HDD,Nvidia GeForce 930MX,977.0,5,7,65
Dell,Latitude 5590,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,Intel UHD Graphics 620,1096.16,5,7,65
Apple,"MacBook 12""",Intel Core i5 1.3GHz,8GB,512GB SSD,Intel HD Graphics 615,1510.0,5,7,65
HP,ProBook 440,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,Intel HD Graphics 620,860.0,5,7,65
Lenovo,IdeaPad 320-15AST,AMD A6-Series 9220 2.5GHz,4GB,128GB SSD,AMD R4 Graphics,399.0,6,6,58
Acer,Aspire 3,AMD A9-Series 9420 3GHz,4GB,1TB HDD,AMD Radeon R5,395.0,6,6,58
Dell,Inspiron 7577,Intel Core i7 7700HQ 2.8GHz,16GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050 Ti,1349.0,5,7,65
HP,Pavilion 15-CK000nv,Intel Core i7 8550U 1.8GHz,8GB,256GB SSD,Nvidia GeForce GTX 940MX,699.0,6,6,58
HP,250 G6,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 620,598.99,6,6,58
Asus,FX503VM-E4007T (i7-7700HQ/16GB/1TB,Intel Core i7 7700HQ 2.8GHz,16GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,1449.0,5,7,65
Dell,XPS 13,Intel Core i7 8550U 1.8GHz,8GB,256GB SSD,Intel UHD Graphics 620,1649.0,5,7,65
Asus,FX550IK-DM018T (FX-9830P/8GB/1TB/Radeon,AMD FX 9830P 3GHz,8GB,1TB HDD,AMD Radeon RX 560,699.0,6,6,58
Acer,Aspire 5,Intel Core i7 8550U 1.8GHz,8GB,1TB HDD,Nvidia GeForce MX150,689.0,6,6,58
HP,Probook 430,Intel Core i7 8550U 1.8GHz,16GB,512GB SSD,Intel UHD Graphics 620,1197.0,5,7,65
Dell,Inspiron 7577,Intel Core i5 7300HQ 2.5GHz,8GB,256GB SSD,Nvidia GeForce GTX 1060,1195.0,5,7,65
Asus,Zenbook UX430UA,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,Intel HD Graphics 620,1049.0,5,7,65
Acer,Spin 5,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,Intel UHD Graphics 620,847.0,5,7,65
Dell,Inspiron 3567,Intel Core i7 7500U 2.7GHz,8GB,1TB HDD,AMD Radeon R5 M430,599.9,6,6,58
Dell,Inspiron 3567,Intel Core i3 6006U 2GHz,4GB,256GB SSD,AMD Radeon R5 M430,485.0,6,6,58
Asus,X541UV-DM1439T (i3-7100U/6GB/256GB/GeForce,Intel Core i3 7100U 2.4GHz,6GB,256GB SSD,Nvidia GeForce 920M,577.0,6,6,58
HP,Omen 15-ce007nv,Intel Core i7 7700HQ 2.8GHz,12GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,1249.0,5,7,65
HP,15-bs017nv (i7-7500U/8GB/256GB/Radeon,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,AMD Radeon 530,719.0,6,6,58
HP,15-bw000nv (E2-9000e/4GB/500GB/Radeon,AMD E-Series E2-9000e 1.5GHz,4GB,500GB HDD,AMD Radeon R2,349.0,6,6,58
Dell,Inspiron 3576,Intel Core i5 8250U 1.6GHz,8GB,1TB HDD,AMD Radeon 520,647.0,6,6,58
HP,Envy 13-ad009n,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,Nvidia GeForce MX150,1119.0,5,7,65
Microsoft,Surface Laptop,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 620,1340.0,5,7,65
HP,Pavilion 14-BK001nv,Intel Core i5 7200U 2.5GHz,6GB,256GB SSD,Nvidia GeForce 940MX,659.0,6,6,58
Lenovo,Ideapad 310-15ISK,Intel Core i3 6006U 2GHz,4GB,1TB HDD,Intel HD Graphics 520,414.9,6,6,58
Asus,UX430UQ-GV209R (i7-7500U/8GB/256GB/GeForce,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,Nvidia GeForce 940MX,1193.0,5,7,65
MSI,GP62M 7REX,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1050 Ti,1299.0,5,7,65
Lenovo,Thinkpad T470,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,Intel HD Graphics 620,1480.0,5,7,65
Asus,VivoBook S15,Intel Core i7 8550U 1.8GHz,16GB,256GB SSD +  1TB HDD,Nvidia GeForce MX150,1262.0,5,7,65
